Results of Simulation 1

Time	Q_exh	C_alv	old_C_alv
0	0	0.0423379	0
10	2.37092	0.0656031	0.0423379
20	4.74185	0.0789663	0.0423379
30	7.11277	0.0896287	0.0423379
40	9.48369	0.0991282	0.0423379
50	11.8546	0.107841	0.0423379
60	14.2255	0.115895	0.0423379
70	16.5965	0.123363	0.0423379
80	18.9674	0.130301	0.0423379
90	21.3383	0.136761	0.0423379
100	23.7092	0.142783	0.0423379
110	26.8154	0.148213	0.065603
120	30.8833	0.15326	0.0789661
130	35.6108	0.15803	0.0896287
140	40.8992	0.162523	0.0991293
150	46.6962	0.16675	0.107841
160	52.9619	0.170729	0.115895
170	59.6614	0.17448	0.123363
180	66.7632	0.178021	0.130301
190	74.2419	0.181368	0.136761
200	82.071	0.184536	0.142783
210	90.2216	0.187542	0.148213
220	98.6642	0.190397	0.15326
230	107.381	0.193113	0.15803
239.9	116.264	0.195673	0.162479
240	116.355	0.153361	0.162522
250	125.576	0.132417	0.166749
260	135.026	0.121179	0.170728
270	144.693	0.11256	0.17448
280	154.563	0.105	0.17802
290	164.627	0.0981205	0.181368
300	174.873	0.0917932	0.184536
310	185.292	0.085949	0.187542
320	195.875	0.0805338	0.190397
330	206.614	0.0755013	0.193111
339.9	217.391	0.0708552	0.195673
340	217.488	0.0708098	0.15338
350	225.404	0.0668398	0.132423


