Results of Simulation 1

Time	Q_1	Q_2	Q_3	Q_4	Q_5	Q_6	Q_7	Q_8	Q_9	Q_10	Q_11	Q_12	Q_13	Q_14	Q_15	Q_16	Q_17	Q_18	Q_19	Q_20	Q_21	mass_balance
0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
5	0.217158	0.263809	0.228306	0.151923	0.0815876	0.0365824	0.0140438	0.00470581	0.00139743	0.000372319	8.99097e-05	1.98486e-05	4.0354e-06	7.60453e-07	1.33586e-07	2.1987e-08	3.40637e-09	4.98833e-10	6.9315e-11	9.17994e-12	1.30886e-12	1
10	0.0983318	0.144479	0.171365	0.170732	0.146281	0.109602	0.0727653	0.0432738	0.0232657	0.0113982	0.00512345	0.00212574	0.000818437	0.00029379	9.87419e-05	3.11917e-05	9.29299e-06	2.61958e-06	7.00829e-07	1.79599e-07	5.47595e-08	0.999999
15	0.0543237	0.085256	0.113466	0.132227	0.137291	0.128454	0.109216	0.0849599	0.0608186	0.0402677	0.0247707	0.0142152	0.00763852	0.00385628	0.00183473	0.000824993	0.000351515	0.000142278	5.48904e-05	2.06221e-05	1.00209e-05	0.999999
20	0.0329043	0.0534291	0.0754883	0.095526	0.109934	0.116148	0.113404	0.102842	0.0869845	0.068862	0.0511866	0.0358271	0.0236749	0.0148061	0.00878321	0.0049527	0.00265998	0.00136369	0.000670955	0.000329793	0.000222342	0.999999
25	0.0210378	0.0348876	0.0511431	0.0680991	0.0835463	0.0952556	0.10152	0.101567	0.0957094	0.0851841	0.0717812	0.057391	0.0436221	0.0315781	0.0218081	0.0143913	0.0090898	0.00550919	0.00323577	0.00195973	0.0016832	0.999999
30	0.0139424	0.0234572	0.0352643	0.048616	0.062307	0.074845	0.0847232	0.0907253	0.0921764	0.0890648	0.0820079	0.0720814	0.0605738	0.0487366	0.0375932	0.0278364	0.0198188	0.0136198	0.00918616	0.00660831	0.00681521	0.999999
35	0.00948362	0.0161236	0.0246866	0.0349028	0.0461755	0.0576163	0.068156	0.0767123	0.0823765	0.0845754	0.083166	0.0784434	0.0710631	0.0619051	0.0519149	0.0419648	0.0327651	0.0248654	0.0188124	0.0156798	0.0186107	0.999999
40	0.00657759	0.0112732	0.0175031	0.0252271	0.0341917	0.0439162	0.0537228	0.0628114	0.0703685	0.0756904	0.0782924	0.0779824	0.0748815	0.0693926	0.0621263	0.0538124	0.0452355	0.0372672	0.0311589	0.0295133	0.039055	0.999999
45	0.0046324	0.00799016	0.0125436	0.0183555	0.025357	0.03332	0.0418528	0.0504234	0.0584124	0.0651876	0.0701887	0.0730046	0.0734315	0.0714994	0.0674698	0.0618205	0.0552608	0.048886	0.0447318	0.0473816	0.0682497	0.999999
50	0.00330335	0.00572731	0.00907206	0.0134395	0.0188541	0.0252359	0.0323835	0.0399733	0.0475786	0.0547072	0.0608549	0.0655667	0.0684954	0.0694527	0.0684505	0.0657517	0.0619863	0.0584804	0.058163	0.0679341	0.104589	0.999999
55	0.00237952	0.00414338	0.00661214	0.00989564	0.0140608	0.0191095	0.0249594	0.0314338	0.0382623	0.0450959	0.0515357	0.0571737	0.061641	0.0646626	0.0661238	0.0661741	0.0654449	0.0655756	0.070513	0.0896807	0.145522	0.999999
60	0.00172899	0.00302159	0.00485224	0.00732425	0.0105193	0.0144807	0.0191967	0.0245873	0.0304977	0.0367	0.0429062	0.0487919	0.0540334	0.0583594	0.0616318	0.063994	0.0661852	0.0702631	0.0812977	0.111312	0.188315	0.999999
65	0.00126549	0.00221847	0.00358171	0.00544622	0.00789409	0.0109864	0.0147502	0.0191661	0.0241588	0.0295935	0.0352787	0.0409806	0.0464499	0.0514715	0.0559566	0.0601293	0.0649305	0.0729269	0.0903718	0.131847	0.230596	0.999999
70	0.000932299	0.00163876	0.00265803	0.00406727	0.00594202	0.00834792	0.0113309	0.0149069	0.0190532	0.0237016	0.0287382	0.0340111	0.0393528	0.0446297	0.0498452	0.0553621	0.0623887	0.0740567	0.0978088	0.15065	0.270577	0.999999
75	0.000690703	0.00121694	0.00198182	0.00304926	0.00448551	0.00635362	0.00870652	0.0115792	0.014981	0.0188898	0.0232498	0.0279775	0.0329828	0.0382209	0.0438083	0.0502783	0.0591422	0.0741153	0.103788	0.167388	0.307114	0.999999
80	0.000514099	0.000907685	0.00148351	0.00229376	0.00339485	0.00484392	0.00669408	0.00898877	0.011756	0.0150034	0.018717	0.0228675	0.0274323	0.0324527	0.0381636	0.0452805	0.0556268	0.0734893	0.108526	0.181956	0.339607	0.999999
85	0.000384228	0.000679671	0.00111446	0.00173075	0.00257569	0.00369923	0.00515108	0.00697686	0.00921404	0.0118888	0.0150163	0.0186083	0.022699	0.0274077	0.0330832	0.0406202	0.0521444	0.0724781	0.112246	0.194406	0.367875	0.999999
90	0.00028844	0.000511068	0.000840367	0.00131013	0.00195915	0.00283009	0.00396757	0.00541582	0.00721621	0.00940581	0.0120194	0.0150998	0.018727	0.0230887	0.0286372	0.036434	0.0488848	0.071297	0.115148	0.20489	0.392029	0.999999
95	0.000217247	0.00038551	0.000635562	0.000994361	0.00149357	0.00216905	0.00305981	0.00420683	0.00565183	0.00743752	0.00961147	0.0122392	0.0154374	0.0194514	0.0248256	0.032771	0.0459444	0.070082	0.117399	0.213613	0.412374	0.999999
100	0.000164168	0.000291724	0.000482086	0.000756686	0.0011412	0.00166544	0.00236298	0.0032707	0.00442881	0.00588231	0.00768689	0.00992447	0.0127407	0.0164287	0.0216121	0.0296328	0.043367	0.0689216	0.11914	0.220797	0.429302	0.999999
105	0.000124431	0.000221393	0.000366663	0.000577243	0.000873866	0.00128115	0.00182765	0.00254609	0.00347411	0.00465708	0.00615554	0.0080632	0.0105482	0.0139431	0.0189383	0.0269877	0.0411554	0.0678639	0.120483	0.226663	0.443248	0.999999
110	9.45886e-05	0.000168496	0.000279626	0.000441456	0.000670685	0.000987557	0.00141623	0.00198542	0.00272991	0.00369425	0.00494169	0.00657435	0.00877781	0.0119167	0.0167368	0.0247867	0.0392889	0.0669302	0.121518	0.231421	0.454639	0.999999
115	7.20706e-05	0.000128529	0.000213716	0.000338312	0.000515757	0.000762678	0.00109946	0.00155121	0.00214984	0.00293854	0.00398191	0.00538804	0.00735596	0.0102761	0.01494	0.0229747	0.0377347	0.0661262	0.122316	0.235256	0.463879	0.999999
120	5.50483e-05	9.82789e-05	0.000163727	0.000259863	0.000397511	0.000590335	0.000855541	0.00121511	0.00169825	0.00234656	0.00322515	0.00444631	0.00621948	0.00895568	0.0134838	0.0214955	0.0364541	0.0654456	0.122931	0.238332	0.471331	0.999999
125	4.2161e-05	7.53516e-05	0.000125766	0.000200137	0.000307199	0.000458212	0.00066775	0.000955116	0.00134711	0.00188371	0.00263004	0.00370133	0.00531501	0.00789852	0.012311	0.0202967	0.0354081	0.0648776	0.123404	0.240788	0.477307	0.999999
130	3.23586e-05	5.78957e-05	9.68166e-05	0.000154486	0.000237981	0.000356619	0.00052282	0.000753643	0.0010738	0.00152176	0.00216238	0.00311294	0.00459703	0.00705513	0.0113707	0.0193308	0.0345598	0.064409	0.123768	0.242743	0.482082	0.999999
135	2.49012e-05	4.46036e-05	7.47382e-05	0.000119598	0.000184946	0.000278546	0.000411065	0.000597706	0.000861407	0.00123928	0.00179577	0.0026496	0.00402911	0.00638506	0.0106204	0.0185566	0.0338761	0.0640258	0.124049	0.244293	0.485882	0.999999
140	1.92125e-05	3.44559e-05	5.78595e-05	9.28774e-05	0.000144234	0.000218454	0.00032479	0.000476925	0.000696317	0.00101889	0.00150864	0.00228531	0.00358085	0.00585417	0.0100238	0.0179386	0.0333278	0.0637149	0.124266	0.245519	0.488896	0.999999
145	1.48651e-05	2.66951e-05	4.49348e-05	7.23821e-05	0.000112943	0.000172159	0.000258146	0.000383353	0.000568015	0.000847049	0.001284	0.00199933	0.00322777	0.00543462	0.00955076	0.0174471	0.0328901	0.0634641	0.124433	0.246487	0.491281	0.999999
150	1.15348e-05	2.07459e-05	3.50162e-05	5.66304e-05	8.88507e-05	0.000136439	0.000206604	0.000310799	0.000468259	0.000713056	0.00110832	0.00177501	0.00295002	0.00510365	0.0091766	0.0170572	0.0325417	0.0632629	0.124562	0.24725	0.493165	0.999999
155	8.98168e-06	1.61826e-05	2.74003e-05	4.45192e-05	7.02963e-05	0.000108877	0.000166748	0.000254565	0.00039075	0.000608677	0.000971115	0.00159935	0.00273195	0.00484316	0.0088814	0.0167489	0.0322654	0.0631021	0.124661	0.247849	0.494649	0.999999
160	7.02738e-06	1.26875e-05	2.15616e-05	3.52222e-05	5.60308e-05	8.76477e-05	0.000135988	0.000211068	0.000330657	0.000527555	0.000864216	0.00146217	0.00256124	0.00463877	0.00864926	0.0165059	0.032047	0.0629743	0.124738	0.248319	0.495814	0.999999
165	5.5264e-06	1.00017e-05	1.70714e-05	2.80646e-05	4.50332e-05	7.12563e-05	0.000112197	0.000177364	0.000284003	0.000464447	0.000780884	0.00135501	0.00242762	0.00447848	0.00846689	0.0163147	0.0318748	0.0628729	0.124797	0.248688	0.496728	0.999999
170	4.37157e-06	7.93453e-06	1.36127e-05	2.25458e-05	3.65439e-05	5.85862e-05	9.3779e-05	0.00015123	0.000247764	0.000415342	0.000715926	0.00127132	0.0023231	0.00435289	0.00832377	0.0161643	0.0317392	0.0627928	0.124843	0.248976	0.497445	0.999999
175	3.48298e-06	6.34326e-06	1.09485e-05	1.8291e-05	2.99917e-05	4.87951e-05	7.9527e-05	0.000130977	0.000219637	0.000377166	0.000665344	0.00120606	0.00224146	0.00425465	0.00821165	0.0160464	0.0316326	0.0627295	0.124879	0.249201	0.498007	0.999999
180	2.79815e-06	5.11645e-06	8.89329e-06	1.50062e-05	2.49285e-05	4.12208e-05	6.84882e-05	0.00011527	0.000197793	0.000347477	0.00062595	0.00115516	0.0021777	0.00417782	0.00812387	0.015954	0.0315489	0.0626797	0.124906	0.249378	0.498446	0.999999
185	2.27066e-06	4.17118e-06	7.30886e-06	1.2472e-05	2.10189e-05	3.53662e-05	5.99464e-05	0.000103101	0.000180849	0.000324418	0.000595316	0.00111552	0.00212799	0.00411786	0.00805528	0.0158817	0.0314834	0.0626406	0.124927	0.249515	0.498788	0.999999
190	1.86325e-06	3.44091e-06	6.08423e-06	1.05121e-05	1.79929e-05	3.08309e-05	5.33231e-05	9.36556e-05	0.000167683	0.000306481	0.00057146	0.00108463	0.0020892	0.00407103	0.00800166	0.0158251	0.0314321	0.0626098	0.124944	0.249623	0.499056	0.999999
195	1.54944e-06	2.87825e-06	5.14025e-06	9.00038e-06	1.56573e-05	2.73276e-05	4.82023e-05	8.63458e-05	0.000157484	0.000292572	0.000552941	0.00106062	0.00205903	0.00403456	0.00795988	0.015781	0.031392	0.0625858	0.124956	0.249706	0.499265	0.999999
200	1.30756e-06	2.44446e-06	4.41219e-06	7.83385e-06	1.38538e-05	2.46205e-05	4.42421e-05	8.06881e-05	0.000149582	0.000281786	0.000538569	0.00104197	0.00203558	0.00400619	0.00792734	0.0157466	0.0313608	0.062567	0.124966	0.249771	0.499427	0.999999
205	1.12062e-06	2.10914e-06	3.8492e-06	6.9314e-06	1.24578e-05	2.25237e-05	4.11728e-05	7.62999e-05	0.00014345	0.000273409	0.000527396	0.00102746	0.00201732	0.00398409	0.00790198	0.0157198	0.0313364	0.0625523	0.124974	0.249822	0.499554	0.999999
210	9.75891e-07	1.84948e-06	3.41311e-06	6.2321e-06	1.13756e-05	2.08974e-05	3.87907e-05	7.28921e-05	0.000138684	0.000266894	0.000518703	0.00101617	0.00200309	0.00396686	0.0078822	0.0156989	0.0313173	0.0625408	0.12498	0.249861	0.499653	0.999999
