Results of Simulation 1

Time	C_x_1	C_x_2	C_x_3	C_x_4	C_x_5	C_x_6	C_x_7	C_x_8	C_x_9	C_x_10	C_x_11	C_x_12	C_x_13	C_x_14	C_x_15	C_x_16	C_x_17	C_x_18	C_x_19	C_x_20	C_x_21	C_x_22	C_x_23	C_x_24	C_x_25	C_x_26	C_x_27	C_x_28	C_x_29	C_x_30	C_x_31	C_x_32	C_x_33	C_x_34	C_x_35	C_x_36	C_x_37	C_x_38	C_x_39	C_x_40	C_x_41	C_x_42	C_x_43	C_x_44	C_x_45	C_x_46	C_x_47	C_x_48	C_x_49	C_x_50	C_x_51	C_x_52	C_x_53	C_x_54	C_x_55	C_x_56	C_x_57	C_x_58	C_x_59	C_x_60	C_x_61	C_x_62	C_x_63	C_x_64	C_x_65	C_x_66	C_x_67	C_x_68	C_x_69	C_x_70	C_x_71	C_x_72	C_x_73	C_x_74	C_x_75	C_x_76	C_x_77	C_x_78	C_x_79	C_x_80	C_x_81	C_x_82	C_x_83	C_x_84	C_x_85	C_x_86	C_x_87	C_x_88	C_x_89	C_x_90	C_x_91	C_x_92	C_x_93	C_x_94	C_x_95	C_x_96	C_x_97	C_x_98	C_x_99	C_x_100
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.05	0	1.68815e-43	0	1.73031e-41	0	1.7496e-39	0	1.74328e-37	0	1.7093e-35	0	1.64668e-33	0	1.55581e-31	0	1.43866e-29	0	1.29885e-27	0	1.14166e-25	0	9.73706e-24	0	8.02619e-22	0	6.36361e-20	0	4.82495e-18	0	3.4737e-16	0	2.35383e-14	0	1.48468e-12	0	8.59476e-11	0	4.48359e-09	0	2.05723e-07	0	8.03313e-06	0	0.000254765	0	0.00611277	0	0.0981216	5.07961e-99	0.791019	6.13519e-97	0.0981216	7.38872e-95	0.00611277	8.87157e-93	0.000254765	1.06186e-90	8.03313e-06	1.26681e-88	2.05723e-07	1.50616e-86	4.48359e-09	1.78433e-84	8.59476e-11	2.10599e-82	1.48468e-12	2.47591e-80	2.35383e-14	2.89888e-78	3.4737e-16	3.37952e-76	4.82495e-18	3.92205e-74	6.36361e-20	4.53005e-72	8.02619e-22	5.20613e-70	9.73706e-24	5.95155e-68	1.14166e-25	6.76579e-66	1.29885e-27	7.64613e-64	1.43866e-29	8.58709e-62	1.55581e-31	9.58001e-60	1.64668e-33	1.06126e-57	1.7093e-35	1.16684e-55	1.74328e-37	1.27268e-53	1.7496e-39	1.37626e-51	1.73031e-41	1.47467e-49	1.68831e-43	1.5646e-47	1.64248e-45
0.1	0	6.6182e-38	0	4.59214e-36	0	3.11441e-34	0	2.06121e-32	0	1.32858e-30	0	8.32125e-29	0	5.0516e-27	0	2.9639e-25	0	1.67526e-23	0	9.08802e-22	0	4.71172e-20	0	2.32315e-18	0	1.08314e-16	0	4.74351e-15	0	1.93598e-13	0	7.2946e-12	0	2.50885e-10	0	7.76745e-09	0	2.12738e-07	1.22217e-99	5.04018e-06	1.1591e-97	0.000100244	1.09456e-95	0.00160416	1.02901e-93	0.0193445	9.62897e-92	0.156447	8.96692e-90	0.645028	8.30855e-88	0.156447	7.65835e-86	0.0193445	7.02068e-84	0.00160416	6.39965e-82	0.000100244	5.7991e-80	5.04018e-06	5.22249e-78	2.12738e-07	4.67292e-76	7.76745e-09	4.15302e-74	2.50885e-10	3.66494e-72	7.2946e-12	3.21036e-70	1.93598e-13	2.79039e-68	4.74351e-15	2.40568e-66	1.08314e-16	2.05632e-64	2.32315e-18	1.74194e-62	4.71172e-20	1.46171e-60	9.08802e-22	1.21436e-58	1.67526e-23	9.9829e-57	2.9639e-25	8.11576e-55	5.0516e-27	6.52056e-53	8.32125e-29	5.17393e-51	1.32858e-30	4.05141e-49	2.06121e-32	3.12811e-47	3.11441e-34	2.37935e-45	4.59214e-36	1.78116e-43	6.61951e-38	1.31083e-41	9.47269e-40
0.15	0	2.87153e-34	0	1.46972e-32	0	7.32518e-31	0	3.54933e-29	0	1.66818e-27	0	7.58627e-26	0	3.32887e-24	0	1.40507e-22	0	5.68484e-21	0	2.19605e-19	0	8.0636e-18	0	2.80002e-16	0	9.141e-15	0	2.78664e-13	0	7.87019e-12	1.16267e-99	2.04009e-10	8.62321e-98	4.79974e-09	6.37152e-96	1.01108e-07	4.6893e-94	1.875e-06	3.43708e-92	2.99528e-05	2.50847e-90	0.000400401	1.82256e-88	0.00429882	1.31803e-86	0.0347961	9.48507e-85	0.189902	6.791e-83	0.541167	4.83615e-81	0.189902	3.42475e-79	0.0347961	2.41104e-77	0.00429882	1.68695e-75	0.000400401	1.17272e-73	2.99528e-05	8.09726e-72	1.875e-06	5.5512e-70	1.01108e-07	3.77731e-68	4.79974e-09	2.55011e-66	2.04009e-10	1.7074e-64	7.87019e-12	1.13324e-62	2.78664e-13	7.45269e-61	9.141e-15	4.85392e-59	2.80002e-16	3.12915e-57	8.0636e-18	1.99556e-55	2.19605e-19	1.25816e-53	5.68484e-21	7.83707e-52	1.40507e-22	4.81954e-50	3.32887e-24	2.92386e-48	7.58627e-26	1.74841e-46	1.66818e-27	1.02961e-44	3.54933e-29	5.9652e-43	7.32518e-31	3.3965e-41	1.46972e-32	1.89843e-39	2.87258e-34	1.04031e-37	5.58139e-36
0.2	0	9.98328e-32	0	4.16022e-30	0	1.68192e-28	0	6.58577e-27	0	2.49152e-25	0	9.08273e-24	0	3.18108e-22	0	1.06687e-20	0	3.4138e-19	0	1.03797e-17	0	2.98507e-16	0	8.07796e-15	9.42003e-100	2.0449e-13	5.91035e-98	4.80998e-12	3.70033e-96	1.04312e-10	2.31127e-94	2.06679e-09	1.43997e-92	3.70115e-08	8.94642e-91	5.91257e-07	5.54167e-89	8.29028e-06	3.42151e-87	9.9926e-05	2.10509e-85	0.00100695	1.29026e-83	0.0081546	7.8761e-82	0.0499383	4.78679e-80	0.207923	2.89558e-78	0.46576	1.74277e-76	0.207923	1.04329e-74	0.0499383	6.20969e-73	0.0081546	3.67338e-71	0.00100695	2.15881e-69	9.9926e-05	1.25988e-67	8.29028e-06	7.29822e-66	5.91257e-07	4.19437e-64	3.70115e-08	2.39036e-62	2.06679e-09	1.35013e-60	1.04312e-10	7.55367e-59	4.80998e-12	4.18367e-57	2.0449e-13	2.29245e-55	8.07796e-15	1.24192e-53	2.98507e-16	6.64714e-52	1.03797e-17	3.51233e-50	3.4138e-19	1.83073e-48	1.06687e-20	9.40487e-47	3.18108e-22	4.75751e-45	9.08273e-24	2.36744e-43	2.49152e-25	1.15768e-41	6.58577e-27	5.55674e-40	1.68192e-28	2.61479e-38	4.16022e-30	1.20467e-36	9.9887e-32	5.42606e-35	2.38571e-33
0.25	0	1.66758e-29	0	5.47237e-28	0	1.74861e-26	0	5.43073e-25	0	1.63463e-23	0	4.75369e-22	0	1.33113e-20	3.51656e-99	3.57598e-19	1.37856e-97	9.17913e-18	5.40422e-96	2.24136e-16	2.11855e-94	5.18076e-15	8.30513e-93	1.12737e-13	3.25576e-91	2.29542e-12	1.27632e-89	4.34266e-11	5.00338e-88	7.57338e-10	1.96141e-86	1.20631e-08	7.68901e-85	1.736e-07	3.01419e-83	2.22793e-06	1.18159e-81	2.50921e-05	4.63191e-80	0.000242976	1.81571e-78	0.00196856	7.11743e-77	0.0128414	2.78989e-75	0.0636094	1.09353e-73	0.216404	4.28598e-72	0.40984	1.6797e-70	0.216404	6.58208e-69	0.0636094	2.57884e-67	0.0128414	1.01017e-65	0.00196856	3.95578e-64	0.000242976	1.54846e-62	2.50921e-05	6.05817e-61	2.22793e-06	2.36855e-59	1.736e-07	9.25193e-58	1.20631e-08	3.60975e-56	7.57338e-10	1.40629e-54	4.34266e-11	5.46831e-53	2.29542e-12	2.12131e-51	1.12737e-13	8.20508e-50	5.18076e-15	3.16226e-48	2.24136e-16	1.21343e-46	9.17913e-18	4.63175e-45	3.57598e-19	1.75694e-43	1.33113e-20	6.6155e-42	4.75369e-22	2.46956e-40	1.63463e-23	9.12711e-39	5.43073e-25	3.33469e-37	1.74861e-26	1.20249e-35	5.47237e-28	4.27226e-34	1.66907e-29	1.49267e-32	5.11833e-31
0.3	0	1.17059e-27	0	3.14167e-26	0	8.2214e-25	4.90162e-100	2.09515e-23	1.66047e-98	5.18494e-22	5.6218e-97	1.24217e-20	1.9022e-95	2.87102e-19	6.43229e-94	6.37786e-18	2.17363e-92	1.35609e-16	7.34016e-91	2.74711e-15	2.47689e-89	5.27507e-14	8.35169e-88	9.54735e-13	2.81378e-86	1.61841e-11	9.47181e-85	2.55123e-10	3.18555e-83	3.70979e-09	1.07033e-81	4.92994e-08	3.59266e-80	5.92243e-07	1.20461e-78	6.34866e-06	4.03441e-77	5.97686e-05	1.34955e-75	0.000484289	4.50856e-74	0.00328828	1.50414e-72	0.0180233	5.01075e-71	0.0753846	1.66661e-69	0.219041	5.53395e-68	0.36744	1.83422e-66	0.219041	6.06775e-65	0.0753846	2.00307e-63	0.0180233	6.59764e-62	0.00328828	2.16783e-60	0.000484289	7.10424e-59	5.97686e-05	2.32152e-57	6.34866e-06	7.56279e-56	5.92243e-07	2.45543e-54	4.92994e-08	7.94291e-53	3.70979e-09	2.55911e-51	2.55123e-10	8.20903e-50	1.61841e-11	2.62064e-48	9.54735e-13	8.32205e-47	5.27507e-14	2.62745e-45	2.74711e-15	8.24262e-44	1.35609e-16	2.56766e-42	6.37786e-18	7.93663e-41	2.87102e-19	2.43223e-39	1.24217e-20	7.3833e-38	5.18494e-22	2.21785e-36	2.09515e-23	6.58503e-35	8.2214e-25	1.93012e-33	3.14167e-26	5.57706e-32	1.17218e-27	1.58617e-30	4.43272e-29
0.35	0	3.15126e-26	-3.84626e-100	7.47551e-25	-1.17518e-98	1.7219e-23	-3.57166e-97	3.84845e-22	-1.07908e-95	8.32446e-21	-3.23845e-94	1.73774e-19	-9.64556e-93	3.48983e-18	-2.84797e-91	6.719e-17	-8.32398e-90	1.23541e-15	-2.40378e-88	2.16007e-14	-6.84098e-87	3.57435e-13	-1.91184e-85	5.56778e-12	-5.21941e-84	8.11542e-11	-1.38067e-82	1.09932e-09	-3.49048e-81	1.3732e-08	-8.21518e-80	1.56755e-07	-1.694e-78	1.61799e-06	-2.48283e-77	1.49097e-05	1.22012e-76	0.000120756	3.22657e-74	0.000842723	1.90235e-72	0.00493686	8.72896e-71	0.0234145	3.58638e-69	0.0852153	1.3827e-67	0.218172	5.11067e-66	0.334565	1.83198e-64	0.218172	6.41265e-63	0.0852153	2.20158e-61	0.0234145	7.43498e-60	0.00493686	2.47482e-58	0.000842723	8.13075e-57	0.000120756	2.63914e-55	1.49097e-05	8.46886e-54	1.61799e-06	2.68784e-52	1.56755e-07	8.43924e-51	1.3732e-08	2.62158e-49	1.09932e-09	8.05686e-48	8.11542e-11	2.44933e-46	5.56778e-12	7.36376e-45	3.57435e-13	2.18862e-43	2.16007e-14	6.42791e-42	1.23541e-15	1.86452e-40	6.719e-17	5.33816e-39	3.48983e-18	1.50741e-37	1.73774e-19	4.19503e-36	8.32446e-21	1.14948e-34	3.84845e-22	3.098e-33	1.7219e-23	8.20312e-32	7.47553e-25	2.13127e-30	3.15669e-26	5.42559e-29	1.35121e-27
0.4	-6.31807e-100	4.60765e-25	-1.80778e-98	9.95049e-24	-5.29414e-97	2.07916e-22	-1.53288e-95	4.20196e-21	-4.37786e-94	8.19273e-20	-1.22933e-92	1.53676e-18	-3.37855e-91	2.76474e-17	-9.02388e-90	4.75456e-16	-2.31552e-88	7.78686e-15	-5.58933e-87	1.20956e-13	-1.21302e-85	1.77387e-12	-2.07395e-84	2.44358e-11	-9.99719e-84	3.14377e-10	1.42415e-81	3.75286e-09	9.9073e-80	4.12587e-08	4.79592e-78	4.14134e-07	2.02334e-76	3.75659e-06	7.92563e-75	3.04175e-05	2.96089e-73	0.000216543	1.06968e-71	0.00132957	3.76727e-70	0.00686522	1.29996e-68	0.0287931	4.40977e-67	0.0932425	1.47393e-65	0.215262	4.86189e-64	0.30851	1.58451e-62	0.215262	5.1062e-61	0.0932425	1.62798e-59	0.0287931	5.13699e-58	0.00686522	1.60461e-56	0.00132957	4.96216e-55	0.000216543	1.51917e-53	3.04175e-05	4.604e-52	3.75659e-06	1.38094e-50	4.14134e-07	4.09842e-49	4.12587e-08	1.20314e-47	3.75286e-09	3.49223e-46	3.14377e-10	1.00179e-44	2.44358e-11	2.83866e-43	1.77387e-12	7.94053e-42	1.20956e-13	2.19128e-40	7.78686e-15	5.96129e-39	4.75456e-16	1.59743e-37	2.76474e-17	4.21267e-36	1.53676e-18	1.09225e-34	8.19273e-20	2.78131e-33	4.20196e-21	6.94759e-32	2.07916e-22	1.7003e-30	9.95053e-24	4.07119e-29	4.61717e-25	9.52282e-28	2.17243e-26
0.45	9.97347e-97	5.63168e-24	2.83457e-95	1.09338e-22	8.32872e-94	2.05167e-21	2.44687e-92	3.7211e-20	7.18678e-91	6.50655e-19	2.11015e-89	1.09378e-17	6.19305e-88	1.76228e-16	1.81662e-86	2.71227e-15	5.32529e-85	3.97283e-14	1.55986e-83	5.51581e-13	4.56494e-82	7.22604e-12	1.33452e-80	8.88762e-11	3.8966e-79	1.02048e-09	1.13618e-77	1.08686e-08	3.3077e-76	1.06587e-07	9.61257e-75	9.54297e-07	2.78803e-73	7.72246e-06	8.06869e-72	5.58056e-05	2.32946e-70	0.000354826	6.7073e-69	0.00194825	1.92559e-67	0.00901486	5.51045e-66	0.0340032	1.5714e-64	0.0996859	4.46407e-63	0.211209	1.26292e-61	0.287436	3.55695e-60	0.211209	9.96948e-59	0.0996859	2.77969e-57	0.0340032	7.7068e-56	0.00901486	2.12382e-54	0.00194825	5.81478e-53	0.000354826	1.58092e-51	5.58056e-05	4.26606e-50	7.72246e-06	1.14196e-48	9.54297e-07	3.03063e-47	1.06587e-07	7.96907e-46	1.08686e-08	2.07489e-44	1.02048e-09	5.34556e-43	8.88762e-11	1.36171e-41	7.22604e-12	3.42709e-40	5.51581e-13	8.51443e-39	3.97283e-14	2.08633e-37	2.71227e-15	5.03724e-36	1.76228e-16	1.19712e-34	1.09378e-17	2.79729e-33	6.50655e-19	6.41921e-32	3.7211e-20	1.44483e-30	2.05167e-21	3.18532e-29	1.09339e-22	6.86829e-28	5.64614e-24	1.44616e-26	2.96836e-25
