Results of Simulation 1

Time	Q	dQ
0	0	1
0.2	0.198014	0.980199
0.4	0.392109	0.960789
0.6	0.582359	0.941764
0.8	0.768841	0.923116
1	0.95163	0.904837
1.2	1.1308	0.88692
1.4	1.30642	0.869358
1.6	1.47857	0.852143
1.8	1.6473	0.83527
2	1.8127	0.81873
2.2	1.97482	0.802518
2.4	2.13372	0.786628
2.6	2.28949	0.771051
2.8	2.44217	0.755783
3	2.59182	0.740818
3.2	2.73851	0.726149
3.4	2.8823	0.71177
3.6	3.02324	0.697676
3.8	3.16139	0.683861
4	3.2968	0.67032
4.2	3.42953	0.657047
4.4	3.55964	0.644036
4.6	3.68717	0.631283
4.8	3.81217	0.618783
5	3.9347	0.60653
5.2	4.0548	0.59452
5.4	4.17252	0.582748
5.6	4.28791	0.571209
5.8	4.40102	0.559898
6	4.51189	0.548811
6.2	4.62056	0.537944
6.4	4.72708	0.527292
6.6	4.83149	0.516851
6.8	4.93383	0.506617
7	5.03415	0.496585
7.2	5.13248	0.486752
7.4	5.22886	0.477114
7.6	5.32334	0.467666
7.8	5.41594	0.458406
8	5.50671	0.449329
8.2	5.59568	0.440432
8.4	5.6829	0.43171
8.6	5.76838	0.423162
8.8	5.85217	0.414783
9	5.9343	0.40657
9.2	6.01481	0.398519
9.4	6.09372	0.390628
9.6	6.17107	0.382893
9.8	6.24689	0.375311
10	6.32121	0.367879
10.2	6.39405	0.360595
10.4	6.46545	0.353455
10.6	6.53544	0.346456
10.8	6.60405	0.339595
11	6.67129	0.332871
11.2	6.7372	0.32628
11.4	6.80181	0.319819
11.6	6.86514	0.313486
11.8	6.92721	0.307279
12	6.98806	0.301194
12.2	7.0477	0.29523
12.4	7.10616	0.289384
12.6	7.16346	0.283654
12.8	7.21963	0.278037
13	7.27468	0.272532
13.2	7.32865	0.267135
13.4	7.38154	0.261846
13.6	7.43339	0.256661
13.8	7.48422	0.251578
14	7.53403	0.246597
14.2	7.58286	0.241714
14.4	7.63072	0.236928
14.6	7.67764	0.232236
14.8	7.72362	0.227638
15	7.7687	0.22313
15.2	7.81288	0.218712
15.4	7.85619	0.214381
15.6	7.89864	0.210136
15.8	7.94025	0.205975
16	7.98104	0.201896
16.2	8.02101	0.197899
16.4	8.0602	0.19398
16.6	8.09861	0.190139
16.8	8.13626	0.186374
17	8.17317	0.182683
17.2	8.20934	0.179066
17.4	8.2448	0.17552
17.6	8.27955	0.172045
17.8	8.31362	0.168638
18	8.34701	0.165299
18.2	8.37974	0.162026
18.4	8.41183	0.158817
18.6	8.44327	0.155673
18.8	8.4741	0.15259
19	8.50431	0.149569
19.2	8.53393	0.146607
19.4	8.56296	0.143704
19.6	8.59142	0.140858
19.8	8.61931	0.138069
20	8.64665	0.135335
20.2	8.67345	0.132655
20.4	8.69971	0.130029
20.6	8.72546	0.127454
20.8	8.7507	0.12493
21	8.77544	0.122456
21.2	8.79968	0.120032
21.4	8.82345	0.117655
21.6	8.84675	0.115325
21.8	8.86959	0.113041
22	8.89197	0.110803
22.2	8.91391	0.108609
22.4	8.93542	0.106458
22.6	8.9565	0.10435
22.8	8.97716	0.102284
23	8.99741	0.100259
23.2	9.01726	0.0982736
23.4	9.03672	0.0963276
23.6	9.0558	0.0944202
23.8	9.07449	0.0925506
24	9.09282	0.0907179
24.2	9.11078	0.0889216
24.4	9.12839	0.0871608
24.6	9.14565	0.0854349
24.8	9.16257	0.0837432
25	9.17915	0.082085
25.2	9.1954	0.0804596
25.4	9.21134	0.0788664
25.6	9.22695	0.0773047
25.8	9.24226	0.075774
26	9.25726	0.0742736
26.2	9.27197	0.0728028
26.4	9.28639	0.0713612
26.6	9.30052	0.0699482
26.8	9.31437	0.0685631
27	9.32795	0.0672055
27.2	9.34125	0.0658747
27.4	9.3543	0.0645703
27.6	9.36708	0.0632917
27.8	9.37962	0.0620385
28	9.3919	0.06081
28.2	9.40394	0.0596059
28.4	9.41574	0.0584256
28.6	9.42731	0.0572687
28.8	9.43865	0.0561347
29	9.44977	0.0550232
29.2	9.46066	0.0539337
29.4	9.47134	0.0528657
29.6	9.48181	0.0518189
29.8	9.49207	0.0507928
30	9.50213	0.0497871
30.2	9.51199	0.0488012
30.4	9.52165	0.0478349
30.6	9.53112	0.0468877
30.8	9.54041	0.0459592
31	9.54951	0.0450492
31.2	9.55843	0.0441572
31.4	9.56717	0.0432828
31.6	9.57574	0.0424257
31.8	9.58414	0.0415856
32	9.59238	0.0407622
32.2	9.60045	0.039955
32.4	9.60836	0.0391639
32.6	9.61612	0.0383884
32.8	9.62372	0.0376282
33	9.63117	0.0368832
33.2	9.63847	0.0361528
33.4	9.64563	0.0354369
33.6	9.65265	0.0347352
33.8	9.65953	0.0340474
34	9.66627	0.0333733
34.2	9.67288	0.0327124
34.4	9.67935	0.0320647
34.6	9.6857	0.0314298
34.8	9.69193	0.0308074
35	9.69803	0.0301974
35.2	9.70401	0.0295994
35.4	9.70987	0.0290133
35.6	9.71561	0.0284388
35.8	9.72124	0.0278757
36	9.72676	0.0273237
36.2	9.73217	0.0267827
36.4	9.73748	0.0262523
36.6	9.74267	0.0257325
36.8	9.74777	0.025223
37	9.75276	0.0247235
37.2	9.75766	0.024234
37.4	9.76246	0.0237541
37.6	9.76716	0.0232837
37.8	9.77177	0.0228227
38	9.77629	0.0223708
38.2	9.78072	0.0219278
38.4	9.78506	0.0214936
38.6	9.78932	0.021068
38.8	9.79349	0.0206508
39	9.79758	0.0202419
39.2	9.80159	0.0198411
39.4	9.80552	0.0194482
39.6	9.80937	0.0190631
39.8	9.81314	0.0186856
40	9.81684	0.0183156
40.2	9.82047	0.017953
40.4	9.82403	0.0175975
40.6	9.82751	0.017249
40.8	9.83093	0.0169075
41	9.83427	0.0165727
41.2	9.83755	0.0162445
41.4	9.84077	0.0159228
41.6	9.84392	0.0156076
41.8	9.84701	0.0152985
42	9.85004	0.0149956
42.2	9.85301	0.0146986
42.4	9.85592	0.0144076
42.6	9.85878	0.0141223
42.8	9.86157	0.0138427
43	9.86431	0.0135686
43.2	9.867	0.0132999
43.4	9.86963	0.0130365
43.6	9.87222	0.0127784
43.8	9.87475	0.0125254
44	9.87723	0.0122773
44.2	9.87966	0.0120342
44.4	9.88204	0.0117959
44.6	9.88438	0.0115624
44.8	9.88667	0.0113334
45	9.88891	0.011109
45.2	9.89111	0.010889
45.4	9.89327	0.0106734
45.6	9.89538	0.0104621
45.8	9.89745	0.0102549
46	9.89948	0.0100518
46.2	9.90147	0.00985279
46.4	9.90342	0.00965769
46.6	9.90534	0.00946646
46.8	9.90721	0.00927901
47	9.90905	0.00909527
47.2	9.91085	0.00891518
47.4	9.91261	0.00873864
47.6	9.91434	0.00856561
47.8	9.91604	0.008396
48	9.9177	0.00822974
48.2	9.91933	0.00806678
48.4	9.92093	0.00790705
48.6	9.9225	0.00775048
48.8	9.92403	0.00759701
49	9.92553	0.00744658
49.2	9.92701	0.00729913
49.4	9.92845	0.0071546
49.6	9.92987	0.00701293
49.8	9.93126	0.00687406
50	9.93262	0.00673795
50.2	9.93395	0.00660452
50.4	9.93526	0.00647375
50.6	9.93654	0.00634556
50.8	9.9378	0.00621991
51	9.93903	0.00609674
51.2	9.94024	0.00597602
51.4	9.94142	0.00585769
51.6	9.94258	0.0057417
51.8	9.94372	0.005628
52	9.94483	0.00551656
52.2	9.94593	0.00540733
52.4	9.947	0.00530026
52.6	9.94805	0.0051953
52.8	9.94908	0.00509243
53	9.95008	0.00499159
53.2	9.95107	0.00489275
53.4	9.95204	0.00479587
53.6	9.95299	0.0047009
53.8	9.95392	0.00460782
54	9.95483	0.00451658
54.2	9.95573	0.00442715
54.4	9.95661	0.00433948
54.6	9.95746	0.00425355
54.8	9.95831	0.00416933
55	9.95913	0.00408677
55.2	9.95994	0.00400585
55.4	9.96073	0.00392653
55.6	9.96151	0.00384878
55.8	9.96227	0.00377256
56	9.96302	0.00369786
56.2	9.96375	0.00362464
56.4	9.96447	0.00355287
56.6	9.96517	0.00348252
56.8	9.96586	0.00341356
57	9.96654	0.00334596
57.2	9.9672	0.00327971
57.4	9.96785	0.00321477
57.6	9.96849	0.00315111
57.8	9.96911	0.00308871
58	9.96972	0.00302755
58.2	9.97032	0.0029676
58.4	9.97091	0.00290884
58.6	9.97149	0.00285124
58.8	9.97205	0.00279478
59	9.97261	0.00273944
59.2	9.97315	0.0026852
59.4	9.97368	0.00263203
