Results of Simulation 1

Time	Q	dQ
0	0	1
0.2	0.198014	0.980199
0.4	0.392106	0.960789
0.6	0.582355	0.941764
0.8	0.768837	0.923116
1	0.951626	0.904837
1.2	1.1308	0.88692
1.4	1.30642	0.869358
1.6	1.47856	0.852144
1.8	1.6473	0.83527
2	1.81269	0.818731
2.2	1.97481	0.802519
2.4	2.13372	0.786628
2.6	2.28948	0.771052
2.8	2.44216	0.755784
3	2.59182	0.740818
3.2	2.73851	0.726149
3.4	2.8823	0.71177
3.6	3.02324	0.697676
3.8	3.16139	0.683861
4	3.2968	0.67032
4.2	3.42953	0.657047
4.4	3.55964	0.644036
4.6	3.68716	0.631284
4.8	3.81217	0.618783
5	3.93469	0.606531
5.2	4.0548	0.59452
5.4	4.17252	0.582748
5.6	4.28791	0.571209
5.8	4.40102	0.559898
6	4.51189	0.548811
6.2	4.62056	0.537944
6.4	4.72708	0.527292
6.6	4.83149	0.516851
6.8	4.93383	0.506617
7	5.03415	0.496585
7.2	5.13248	0.486752
7.4	5.22887	0.477113
7.6	5.32334	0.467666
7.8	5.41594	0.458406
8	5.50672	0.449328
8.2	5.59569	0.440431
8.4	5.6829	0.43171
8.6	5.76839	0.423161
8.8	5.85218	0.414782
9	5.93431	0.406569
9.2	6.01482	0.398518
9.4	6.09373	0.390627
9.6	6.17108	0.382892
9.8	6.2469	0.37531
10	6.32121	0.367879
10.2	6.39406	0.360594
10.4	6.46546	0.353454
10.6	6.53545	0.346455
10.8	6.60405	0.339595
11	6.6713	0.33287
11.2	6.73721	0.326279
11.4	6.80182	0.319818
11.6	6.86514	0.313486
11.8	6.92722	0.307278
12	6.98806	0.301194
12.2	7.0477	0.29523
12.4	7.10616	0.289384
12.6	7.16346	0.283654
12.8	7.21963	0.278037
13	7.27469	0.272531
13.2	7.32865	0.267135
13.4	7.38155	0.261845
13.6	7.4334	0.25666
13.8	7.48422	0.251578
14	7.53403	0.246597
14.2	7.58286	0.241714
14.4	7.63073	0.236927
14.6	7.67764	0.232236
14.8	7.72363	0.227637
15	7.7687	0.22313
15.2	7.81289	0.218711
15.4	7.85619	0.214381
15.6	7.89864	0.210136
15.8	7.94025	0.205975
16	7.98104	0.201896
16.2	8.02102	0.197898
16.4	8.0602	0.19398
16.6	8.09861	0.190139
16.8	8.13627	0.186373
17	8.17317	0.182683
17.2	8.20934	0.179066
17.4	8.2448	0.17552
17.6	8.27956	0.172044
17.8	8.31362	0.168638
18	8.34702	0.165298
18.2	8.37975	0.162025
18.4	8.41183	0.158817
18.6	8.44328	0.155672
18.8	8.4741	0.15259
19	8.50432	0.149568
19.2	8.53394	0.146606
19.4	8.56297	0.143703
19.6	8.59142	0.140858
19.8	8.61931	0.138069
20	8.64665	0.135335
20.2	8.67345	0.132655
20.4	8.69972	0.130028
20.6	8.72546	0.127454
20.8	8.7507	0.12493
21	8.77544	0.122456
21.2	8.79969	0.120031
21.4	8.82346	0.117654
21.6	8.84675	0.115325
21.8	8.86959	0.113041
22	8.89197	0.110803
22.2	8.91391	0.108609
22.4	8.93542	0.106458
22.6	8.9565	0.10435
22.8	8.97716	0.102284
23	8.99741	0.100259
23.2	9.01727	0.0982733
23.4	9.03673	0.0963273
23.6	9.0558	0.0944199
23.8	9.0745	0.0925503
24	9.09282	0.0907177
24.2	9.11079	0.0889213
24.4	9.12839	0.0871606
24.6	9.14565	0.0854347
24.8	9.16257	0.083743
25	9.17915	0.0820847
25.2	9.19541	0.0804594
25.4	9.21134	0.0788662
25.6	9.22696	0.0773045
25.8	9.24226	0.0757738
26	9.25727	0.0742733
26.2	9.27197	0.0728026
26.4	9.28639	0.071361
26.6	9.30052	0.069948
26.8	9.31437	0.0685629
27	9.32795	0.0672053
27.2	9.34125	0.0658745
27.4	9.3543	0.0645701
27.6	9.36708	0.0632916
27.8	9.37962	0.0620383
28	9.3919	0.0608099
28.2	9.40394	0.0596058
28.4	9.41575	0.0584255
28.6	9.42731	0.0572686
28.8	9.43865	0.0561346
29	9.44977	0.055023
29.2	9.46066	0.0539335
29.4	9.47134	0.0528656
29.6	9.48181	0.0518188
29.8	9.49207	0.0507927
30	9.50213	0.0497869
30.2	9.51199	0.0488011
30.4	9.52165	0.0478347
30.6	9.53112	0.0468875
30.8	9.54041	0.0459591
31	9.54951	0.0450491
31.2	9.55843	0.044157
31.4	9.56717	0.0432827
31.6	9.57574	0.0424256
31.8	9.58414	0.0415855
32	9.59238	0.0407621
32.2	9.60045	0.0399549
32.4	9.60836	0.0391638
32.6	9.61612	0.0383883
32.8	9.62372	0.0376281
33	9.63117	0.0368831
33.2	9.63847	0.0361527
33.4	9.64563	0.0354368
33.6	9.65265	0.0347352
33.8	9.65953	0.0340473
34	9.66627	0.0333732
34.2	9.67288	0.0327123
34.4	9.67935	0.0320646
34.6	9.6857	0.0314297
34.8	9.69193	0.0308073
35	9.69803	0.0301973
35.2	9.70401	0.0295993
35.4	9.70987	0.0290132
35.6	9.71561	0.0284387
35.8	9.72124	0.0278756
36	9.72676	0.0273236
36.2	9.73217	0.0267826
36.4	9.73748	0.0262523
36.6	9.74268	0.0257324
36.8	9.74777	0.0252229
37	9.75277	0.0247235
37.2	9.75766	0.0242339
37.4	9.76246	0.023754
37.6	9.76716	0.0232837
37.8	9.77177	0.0228226
38	9.77629	0.0223707
38.2	9.78072	0.0219277
38.4	9.78506	0.0214935
38.6	9.78932	0.0210679
38.8	9.79349	0.0206508
39	9.79758	0.0202418
39.2	9.80159	0.019841
39.4	9.80552	0.0194482
39.6	9.80937	0.0190631
39.8	9.81314	0.0186856
40	9.81684	0.0183156
40.2	9.82047	0.0179529
40.4	9.82403	0.0175974
40.6	9.82751	0.017249
40.8	9.83093	0.0169074
41	9.83427	0.0165726
41.2	9.83756	0.0162445
41.4	9.84077	0.0159228
41.6	9.84392	0.0156075
41.8	9.84702	0.0152985
42	9.85004	0.0149955
42.2	9.85301	0.0146986
42.4	9.85592	0.0144075
42.6	9.85878	0.0141223
42.8	9.86157	0.0138426
43	9.86431	0.0135685
43.2	9.867	0.0132998
43.4	9.86964	0.0130365
43.6	9.87222	0.0127783
43.8	9.87475	0.0125253
44	9.87723	0.0122773
44.2	9.87966	0.0120342
44.4	9.88204	0.0117959
44.6	9.88438	0.0115623
44.8	9.88667	0.0113334
45	9.88891	0.011109
45.2	9.89111	0.010889
45.4	9.89327	0.0106734
45.6	9.89538	0.010462
45.8	9.89745	0.0102549
46	9.89948	0.0100518
46.2	9.90147	0.00985277
46.4	9.90342	0.00965767
46.6	9.90534	0.00946643
46.8	9.90721	0.00927899
47	9.90905	0.00909525
47.2	9.91085	0.00891515
47.4	9.91261	0.00873862
47.6	9.91434	0.00856558
47.8	9.91604	0.00839597
48	9.9177	0.00822972
48.2	9.91933	0.00806676
48.4	9.92093	0.00790703
48.6	9.9225	0.00775046
48.8	9.92403	0.00759699
49	9.92553	0.00744656
49.2	9.92701	0.0072991
49.4	9.92845	0.00715456
49.6	9.92987	0.00701289
49.8	9.93126	0.00687402
50	9.93262	0.0067379
50.2	9.93396	0.00660448
50.4	9.93526	0.0064737
50.6	9.93654	0.00634551
50.8	9.9378	0.00621986
51	9.93903	0.00609669
51.2	9.94024	0.00597597
51.4	9.94142	0.00585763
51.6	9.94258	0.00574164
51.8	9.94372	0.00562795
52	9.94484	0.0055165
52.2	9.94593	0.00540726
52.4	9.947	0.00530019
52.6	9.94805	0.00519524
52.8	9.94908	0.00509236
53	9.95008	0.00499152
53.2	9.95107	0.00489268
53.4	9.95204	0.0047958
53.6	9.95299	0.00470083
53.8	9.95392	0.00460775
54	9.95483	0.00451651
54.2	9.95573	0.00442707
54.4	9.95661	0.00433941
54.6	9.95747	0.00425348
54.8	9.95831	0.00416925
55	9.95913	0.00408669
55.2	9.95994	0.00400577
55.4	9.96074	0.00392645
55.6	9.96151	0.0038487
55.8	9.96228	0.00377248
56	9.96302	0.00369778
56.2	9.96375	0.00362456
56.4	9.96447	0.00355279
56.6	9.96518	0.00348244
56.8	9.96587	0.00341348
57	9.96654	0.00334589
57.2	9.9672	0.00327963
57.4	9.96785	0.00321469
57.6	9.96849	0.00315103
57.8	9.96911	0.00308864
58	9.96973	0.00302748
58.2	9.97032	0.00296753
58.4	9.97091	0.00290876
58.6	9.97149	0.00285117
58.8	9.97205	0.00279471
59	9.97261	0.00273937
59.2	9.97315	0.00268512
59.4	9.97368	0.00263195
